STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,EROSION_LEVEL,Erosion risk level,WATER_TYPE,Water type,NUTRIENTS,Nutrients,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,A_LAND,Arable land,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2011,,82849.53,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,A_LAND,Arable land,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2010,,87400.03,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,A_LAND,Arable land,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2009,,90460.371,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2004,,200000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2003,,100000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2002,,100000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2001,,200000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2000,,200000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1999,,100000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1998,,100000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1997,,100000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2022,,1462800,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2021,,1364400,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2020,,753500,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2019,,460000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2018,,1000000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2017,,900000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2016,,900000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2015,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2014,,500000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2013,,600000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2012,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2011,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2010,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2009,,200000,,2,Two,A,Normal value,0,Units,,
