CountryCode,Reference area,Measure,Unit of measure,Year,Value,Observation status,Unit multiplier
AUS,Australia,Arable land,Hectares,2011,82849.53,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2010,87400.03,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2009,90460.371,Normal value,Thousands
AUS,Australia,Transgenic crops,Hectares,2004,200000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2003,100000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2002,100000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2001,200000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2000,200000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,1999,100000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,1998,100000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,1997,100000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2022,1462800.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2021,1364400.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2020,753500.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2019,460000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2018,1000000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2017,900000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2016,900000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2015,700000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2014,500000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2013,600000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2012,700000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2011,700000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2010,700000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2009,200000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2008,200000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2007,100000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2006,200000.0,Normal value,Units
AUS,Australia,Transgenic crops,Hectares,2005,300000.0,Normal value,Units
AUS,Australia,Permanent crops,Hectares,2001,317.525,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2000,291.449,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1999,264.822,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1998,241.387,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1997,225.977,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1996,212.632,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1995,190.181,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1994,185.823,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1993,173.959,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1992,167.299,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1991,162.648,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1990,165.609,Normal value,Thousands
