CountryCode,Reference area,Measure,Unit of measure,Year,Value,Observation status,Unit multiplier
VNM,Viet Nam,Total final energy consumption,Tonnes of oil equivalent,1995,19831.57,Normal value,Thousands
VNM,Viet Nam,Direct on-farm energy consumption,Tonnes of oil equivalent,1995,375.25,Normal value,Thousands
VNM,Viet Nam,Direct on-farm energy consumption,Tonnes of oil equivalent,1996,408.331,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1986,49432.618,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1987,50548.281,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1987,1265.248,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1988,1240.95,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,2016,2466.553,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,2017,2611.642,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2017,80749.382,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1990,56656.108,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1991,56215.213,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1991,1318.651,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1992,1341.609,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1992,56736.63,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1993,58832.832,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1993,1368.544,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1994,1417.054,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1994,60165.622,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1995,62273.295,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1995,1451.326,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1996,1456.076,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1996,64205.129,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1997,65674.032,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,1985,49312.339,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1985,1221.883,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,1986,1209.824,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2000,69581.977,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2001,70231.885,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,2001,1613.801,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,2002,1778.193,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2002,69749.983,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2003,70872.312,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,2003,2227.224,Normal value,Thousands
AUS,Australia,Direct on-farm energy consumption,Tonnes of oil equivalent,2004,2224.116,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2004,72549.851,Normal value,Thousands
AUS,Australia,Total final energy consumption,Tonnes of oil equivalent,2005,72234.143,Normal value,Thousands
