STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,EROSION_LEVEL,Erosion risk level,WATER_TYPE,Water type,NUTRIENTS,Nutrients,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2011,,4921,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2010,,3707,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2009,,4090,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1993,,2107000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1993,,2107000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1992,,2069000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1992,,2069000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1991,,2008000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1991,,2008000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1990,,1832000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1990,,1832000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2004,,2402000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2004,,2402000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2003,,2378000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2003,,2378000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2002,,2545000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2002,,2545000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2001,,2506000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2001,,2506000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2000,,2384000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2000,,2384000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1999,,2251000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1999,,2251000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1998,,2365000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1998,,2365000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1997,,2057000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1997,,2057000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1994,,2408000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1994,,2408000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2008,,6989,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2007,,8523.17,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2006,,11675.6,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2005,,12242.842,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,TOTFRESHAG,Agriculture freshwater abstraction,_Z,Not applicable,_T,Total,_Z,Not applicable,M3,Cubic metres,2001,,15033.147,,2,Two,A,Normal value,6,Millions,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2021,,1944870.57,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2021,,1944870.57,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGATIONAREA,Irrigation area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2020,,1520939.6,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2020,,1520939.6,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGWATER(1.0),Water use,I,AUS,Australia,A,Annual,IRRIGABLEAREA,Irrigable area,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2019,,1954788.81,,2,Two,A,Normal value,0,Units,,
