CountryCode,Reference area,Measure,Water type,Unit of measure,Year,Value,Observation status,Unit multiplier
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2011,4921.0,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2010,3707.0,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2009,4090.0,Normal value,Millions
AUS,Australia,Irrigation area,Not applicable,Hectares,1993,2107000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1993,2107000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1992,2069000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1992,2069000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1991,2008000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1991,2008000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1990,1832000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1990,1832000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2004,2402000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2004,2402000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2003,2378000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2003,2378000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2002,2545000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2002,2545000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2001,2506000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2001,2506000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2000,2384000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2000,2384000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1999,2251000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1999,2251000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1998,2365000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1998,2365000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1997,2057000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1997,2057000.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,1994,2408000.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,1994,2408000.0,Normal value,Units
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2008,6989.0,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2007,8523.17,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2006,11675.6,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2005,12242.842,Normal value,Millions
AUS,Australia,Agriculture freshwater abstraction,Total,Cubic metres,2001,15033.147,Normal value,Millions
AUS,Australia,Irrigable area,Not applicable,Hectares,2021,1944870.57,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2021,1944870.57,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2020,1520939.6,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2020,1520939.6,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2019,1954788.81,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2019,1954788.81,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2018,2298174.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2018,2298174.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2017,2243656.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2017,2243656.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2016,2147915.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2016,2147915.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2015,2149110.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2015,2149110.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2014,2361254.44,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2014,2361254.44,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2013,2377959.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2013,2377959.09,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2012,2141303.4,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2012,2141303.4,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2011,1962569.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2011,1962569.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2010,1840610.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2010,1840610.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2009,1760758.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2009,1760758.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2008,1850937.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2008,1850937.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2007,1922982.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2007,1922982.0,Normal value,Units
AUS,Australia,Irrigation area,Not applicable,Hectares,2006,2546318.0,Normal value,Units
AUS,Australia,Irrigable area,Not applicable,Hectares,2006,2546318.0,Normal value,Units
